"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "JavaScript JSX", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\book-review\database\seeders\DatabaseSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\book-review\front-end\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\book-review\front-end\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\xampp\htdocs\book-review\front-end\index.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\xampp\htdocs\book-review\front-end\package-lock.json", "JSON", 0, 0, 0, 0, 6038, 0, 0, 0, 0, 1, 6039
"c:\xampp\htdocs\book-review\front-end\package.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"c:\xampp\htdocs\book-review\front-end\postcss.config.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 12, 0, 18
"c:\xampp\htdocs\book-review\front-end\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 7, 21
"c:\xampp\htdocs\book-review\front-end\src\admin\dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\xampp\htdocs\book-review\front-end\src\api\axiosConfig.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\xampp\htdocs\book-review\front-end\src\components\Books\AddBookForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 250, 0, 0, 1, 5, 256
"c:\xampp\htdocs\book-review\front-end\src\components\Books\BookItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\book-review\front-end\src\components\Books\BooksList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 16, 16, 158
"c:\xampp\htdocs\book-review\front-end\src\components\Books\EditBookForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 256, 0, 0, 1, 9, 266
"c:\xampp\htdocs\book-review\front-end\src\components\DataTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\book-review\front-end\src\components\FilterComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\xampp\htdocs\book-review\front-end\src\components\Genres\AddGenreForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 7, 115
"c:\xampp\htdocs\book-review\front-end\src\components\Genres\EditGenreForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 7, 112
"c:\xampp\htdocs\book-review\front-end\src\components\Genres\GenreItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\book-review\front-end\src\components\Genres\GenresList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 92, 12, 247
"c:\xampp\htdocs\book-review\front-end\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\xampp\htdocs\book-review\front-end\src\components\ReusableTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 2, 5, 107
"c:\xampp\htdocs\book-review\front-end\src\components\Users\AddUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 1, 5, 210
"c:\xampp\htdocs\book-review\front-end\src\components\Users\EditUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 3, 15, 217
"c:\xampp\htdocs\book-review\front-end\src\components\Users\UserItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\book-review\front-end\src\components\Users\UsersList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 96, 16, 248
